country_name,iso_code,year,v2psbars_osp,v2exrescon_osp,v2exbribe_osp,v2lgotovst_osp,v2dlcountr_osp,v2juhcind_osp,v2jucorrdc_osp,v2jucomp_osp,v2clrspct_osp,v2clacjstw_osp,v2pepwrgen_osp,v2stcritrecadm_osp,v2cseeorgs_osp,v2csantimv_osp,v2csrlgcon_osp,v2mecenefi_osp,v2mebias_osp,v2mecorrpt_osp,v2pepwrort_osp,v2pepwrses_osp,v2pehealth_osp,v2cacamps_osp,v2caviol_osp,v2caautmob_osp,v2capolit_osp,v2cacritic_osp,v2smgovcapsec_osp,v2smpardom_osp,v2smfordom_osp,v2smpolsoc_osp,GDPPC
Cape Verde,CPV,2024,3.796,2.892,3.013,2.61,1.895,2.807,2.901,3.264,2.447,2.637,1.628,1.557,3.342,0.334,0.656,2.977,3.328,3.858,1.405,2.37,2.072,1.775,0.169,0.02,1.123,2.2,1.577,2.603,3.472,1.66,9848.95276350935
Central African Republic,CAF,2024,2.579,0.407,1.002,0.592,1.581,0.66,1.625,1.16,0.456,1.486,2.193,0.91,2.06,2.568,1.84,2.225,2.466,1.75,2.58,2.242,0.288,3.317,3.369,2.221,1.227,1.246,1.192,1.011,1.029,0.894,1111.21941638883
Chile,CHL,2024,3.583,3.258,3.4,3.76,3.616,2.964,3.189,3.376,2.975,3.113,2.623,2.922,3.169,1.224,1.13,2.911,3.339,3.483,1.964,2.505,2.628,1.812,1.015,0.066,1.647,3.183,3.294,2.3,3.712,0.838,30182.7871224714
Costa Rica,CRI,2024,3.964,2.895,2.709,3.533,3.342,3.37,3.102,3.763,3.659,3.574,3.284,2.572,3.793,0.628,1.548,2.977,3.711,3.526,2.172,2.158,3.477,2.067,0.18,0.139,2.368,3.288,1.931,3.628,3.425,1.503,26973.4361580719
Timor-Leste,TLS,2024,3.752,2.76,2.503,2.074,2.673,2.034,2.909,2.736,2.515,2.11,1.672,1.772,3.52,1.392,1.961,2.356,3.641,2.869,1.211,2.332,1.315,1.536,1.487,0.048,1.6,2.232,0.856,2.236,3.674,1.34,3890.95763434187
Ecuador,ECU,2024,3.58,1.983,1.686,2.447,1.922,2.612,1.94,1.846,1.924,2.103,1.51,0.929,2.548,1.399,1.41,2.437,3.122,2.786,0.825,1.918,1.257,2.876,2.672,0.185,1.928,2.28,2.153,1.444,2.384,0.469,13935.5391125402
France,FRA,2024,3.914,3.123,3.361,3.063,3.125,3.219,3.412,3.648,3.595,3.42,3.142,2.909,2.906,2.174,1.082,2.789,3.557,3.914,2.854,2.834,3.196,3.417,2.167,0.183,2.908,3.136,3.331,2.872,2.533,0.285,54799.3482689389
Germany,DEU,2024,3.845,3.089,3.369,3.706,3.136,3.525,3.652,3.216,3.965,3.899,2.944,3.243,2.683,1.346,1.461,2.767,3.427,3.927,2.464,2.91,3.801,2.47,1.522,1.196,1.742,3.359,3.32,2.958,2.703,1.113,62554.5547232436
Guatemala,GTM,2024,3.586,3.335,2.488,2.946,2.05,3.397,1.282,3.531,2.017,1.5,2.182,1.71,3.158,1.932,1.597,2.942,3.328,2.808,0.912,1.973,0.92,2.691,2.14,0.359,1.182,2.875,1.201,1.255,3.678,1.513,12640.8875023146
Iran,IRN,2024,1.361,1.209,1.339,2.386,1.794,0.503,1.471,0.95,1.603,1.442,0.627,1.923,0.541,0.787,1.808,0.965,1.48,0.68,0.252,2.271,2.221,3.167,1.867,1.822,2.117,0.625,2.685,0.87,0.639,0.356,17484.1320140467
