country_name,iso_code,year,v2psbars_osp,v2exrescon_osp,v2exbribe_osp,v2lgotovst_osp,v2dlcountr_osp,v2juhcind_osp,v2jucorrdc_osp,v2jucomp_osp,v2clrspct_osp,v2clacjstw_osp,v2pepwrgen_osp,v2stcritrecadm_osp,v2cseeorgs_osp,v2csantimv_osp,v2csrlgcon_osp,v2mecenefi_osp,v2mebias_osp,v2mecorrpt_osp,v2pepwrort_osp,v2pepwrses_osp,v2pehealth_osp,v2cacamps_osp,v2caviol_osp,v2caautmob_osp,v2capolit_osp,v2cacritic_osp,v2smgovcapsec_osp,v2smpardom_osp,v2smfordom_osp,v2smpolsoc_osp,GDPPC
Togo,TGO,2024,3.322,1.386,0.44,0.801,3.344,1.068,1.097,1.27,2.701,1.154,2.627,1.703,2.545,3.224,0.956,1.943,3.217,1.174,0.157,1.081,1.446,2.787,1.246,0.85,1.699,1.879,2.325,2.481,2.668,0.871,2960.77542569109
Trinidad and Tobago,TTO,2024,3.94,3.104,3.574,3.075,3.02,3.31,3.089,2.801,2.514,3.011,2.561,2.134,3.486,0.664,1.725,2.97,2.877,3.57,2.122,2.91,3.651,0.604,0.489,0.04,1.847,2.293,1.204,2.622,3.642,1.784,31960.1568888983
Turkmenistan,TKM,2024,1.277,0.48,0.712,0.426,0.324,0.271,1.453,0.919,0.487,0.921,1.246,0.83,0.054,0.135,0.422,0.163,0.117,0.097,0.057,0.364,1.628,0.805,0.157,2.528,0.171,0.67,1.487,0.531,3.192,2.973,18662.298799056
Uzbekistan,UZB,2024,1.747,0.812,0.579,0.178,1.861,0.503,1.185,0.629,1.552,1.656,1.726,1.48,1.334,0.514,0.108,0.591,0.892,1.06,0.121,1.619,1.837,1.286,0.583,0.312,0.415,1.098,1.599,1.122,1.937,2.168,10450.2051402852
Austria,AUT,2024,3.952,3.009,2.62,3.092,2.942,3.642,3.518,3.108,3.194,3.049,2.341,2.377,3.434,1.088,1.578,2.967,3.677,2.874,2.072,2.399,3.537,2.101,0.989,0.447,1.972,3.286,2.035,2.243,2.062,1.353,63788.078678479
Bahrain,BHR,2024,1.178,1.709,1.691,0.915,1.149,0.427,3.141,0.996,1.304,1.519,1.187,1.326,0.649,1.165,0.512,2.108,1.197,0.973,0.083,0.576,3.451,3.378,2.478,2.259,1.676,1.371,2.379,2.07,1.114,0.205,58891.8304860737
Barbados,BRB,2024,3.821,3.228,2.946,2.633,2.931,3.443,3.176,3.089,2.855,3.072,2.99,2.499,3.439,0.43,1.479,2.944,3.185,3.578,1.929,2.244,3.694,0.837,0.179,0.049,1.698,2.864,1.798,3.127,3.074,2.604,21837.7254102057
Belgium,BEL,2024,3.957,3.024,3.731,3.374,2.735,3.098,3.404,2.711,3.736,3.906,3.005,2.613,3.115,1.067,1.229,2.965,3.73,3.945,2.53,3.083,3.82,1.717,1.173,0.063,1.602,2.815,2.191,2.615,3.147,2.275,63347.7858809235
Bosnia and Herzegovina,BIH,2024,3.694,2.429,1.265,2.069,2.52,2.665,1.592,2.36,1.919,2.408,1.978,2.33,3.44,0.872,1.638,2.958,2.766,2.331,1.2,2.373,2.591,3.274,1.524,1.025,1.471,2.124,1.609,1.187,1.292,0.485,20527.6935527158
Bulgaria,BGR,2024,3.868,2.707,2.195,2.748,1.979,2.544,2.048,3.183,2.011,2.864,2.324,2.662,3.106,1.512,0.521,2.961,2.995,2.484,1.681,2.384,2.972,2.725,1.162,0.761,1.185,3.15,1.897,1.884,2.507,0.385,34221.5294617032
Comoros,COM,2024,2.567,1.201,0.653,0.693,2.798,1.075,0.922,1.424,1.397,0.961,1.724,1.804,1.902,2.112,1.568,2.657,2.452,2.105,0.214,2.714,1.518,3.488,2.898,2.85,1.788,0.442,1.174,2.03,2.819,1.041,3482.53486037478
Croatia,HRV,2024,3.886,3.114,2.806,3.184,2.478,1.924,2.932,3.228,2.422,3.038,2.641,1.484,2.986,0.519,1.553,2.84,2.917,2.58,2.062,2.21,3.071,2.938,0.297,0.326,1.209,2.319,2.365,2.358,2.998,1.216,42829.1978370384
Cyprus,CYP,2024,3.932,2.706,2.705,2.843,2.331,2.598,3.24,3.189,3.282,3.693,2.633,2.435,3.372,0.458,1.955,2.965,3.355,3.846,1.806,3.234,3.849,2.743,0.645,0.039,1.9,2.861,2.383,2.95,2.846,1.062,52635.58203125
Czechia,CZE,2024,3.921,3.304,3.357,3.377,3.273,3.304,3.206,3.574,3.641,3.599,2.127,3.028,3.223,0.718,1.098,2.945,3.879,3.6,2.158,2.78,3.821,1.92,0.135,1.216,1.825,3.557,3.114,2.474,2.108,1.745,47963.8968485782
Denmark,DNK,2024,3.934,3.426,3.954,3.733,3.208,3.719,3.92,3.603,3.842,3.961,3.304,3.22,3.797,0.257,0.94,2.971,3.913,3.938,2.58,2.921,3.952,0.93,0.089,0.062,2.552,3.254,3.063,3.603,2.513,3.056,71431.2926242287
Equatorial Guinea,GNQ,2024,2.176,0.954,0.202,1.194,0.352,0.082,1.311,0.165,1.09,1.253,1.096,0.723,0.47,0.769,0.583,0.862,0.902,0.623,0.237,0.911,0.962,2.848,1.758,3.08,0.515,0.808,1.789,1.432,3.071,1.207,15454.428493564
Estonia,EST,2024,3.769,3.323,3.801,3.698,2.839,3.325,3.589,3.638,3.869,3.565,3.061,3.252,3.846,0.194,0.649,2.877,3.767,3.755,2.477,2.936,3.774,1.222,0.124,0.068,1.558,2.666,3.821,3.409,1.411,1.797,41189.6675300734
Fiji,FJI,2024,3.141,2.711,2.349,2.354,2.614,2.196,2.783,3.454,2.748,3.117,1.84,2.212,2.865,1.166,1.049,2.469,3.241,2.96,1.116,2.547,2.412,0.954,0.484,0.137,1.411,1.282,1.912,2.062,2.873,1.223,13592.4635937435
Finland,FIN,2024,3.652,3.074,3.603,3.5,2.732,3.623,3.647,3.801,3.686,3.472,3.154,2.683,2.769,0.714,1.6,2.748,3.48,3.774,2.211,2.997,2.73,1.265,0.675,0.22,2.161,2.974,2.575,2.767,3.019,2.058,56123.1479579839
Greece,GRC,2024,3.71,2.79,2.635,2.236,3.131,2.588,2.654,2.945,2.84,3.265,2.649,2.414,3.461,1.312,1.449,2.927,2.848,3.294,2.336,3.217,3.59,1.134,1.936,0.404,2.085,3.549,2.831,2.329,3.107,0.897,37474.2798239947
Guyana,GUY,2024,3.825,1.852,1.257,0.849,1.68,2.767,1.901,2.887,1.939,2.296,2.04,1.561,3.605,0.66,1.158,2.784,3.324,3.512,1.017,2.557,2.59,2.89,0.509,0.028,1.215,2.306,0.965,0.838,2.902,0.212,70516.7215064805
Hong Kong,HKG,2024,2.159,2.283,3.128,0.46,0.462,2.016,3.518,2.532,2.123,2.145,2.65,2.608,0.991,0.451,0.459,1.977,1.227,2.871,1.331,1.239,3.376,3.45,0.248,1.886,1.202,1.333,2.589,0.296,3.461,0.294,66153.9746651078
Iceland,ISL,2024,3.855,3.171,3.541,3.039,3.054,3.447,3.886,3.437,3.554,3.415,3.42,2.867,3.892,0.588,1.439,2.962,3.363,3.822,2.11,2.897,3.859,1.452,0.072,0.04,1.887,2.043,3.074,2.759,3.375,1.866,67310.0573573616
Israel,ISR,2024,3.585,3.382,2.857,3.134,2.529,3.05,3.395,3.036,3.087,2.965,2.708,3.11,2.217,1.42,1.874,2.792,3.454,3.059,1.899,2.271,3.383,2.323,0.912,0.432,2.706,2.963,3.914,1.104,0.769,0.401,47338.8424624205
Kuwait,KWT,2024,0.205,3.26,2.071,2.948,2.213,1.537,2.78,2.887,2.276,2.555,0.589,1.664,1.611,0.595,0.976,2.113,2.534,2.301,0.057,1.513,3.584,1.286,0.718,0.142,1.046,1.398,3.409,2.381,2.556,1.354,46137.4674254845
Lithuania,LTU,2024,3.858,3.536,3.161,3.712,2.293,3.201,2.757,3.442,2.911,3.519,2.735,2.64,3.006,1.091,1.137,2.963,3.731,3.881,2.337,2.992,3.494,1.26,0.248,0.043,1.582,3.289,3.445,3.23,2.931,2.191,47165.3665643051
Luxembourg,LUX,2024,3.63,3.084,3.879,2.685,4.334,3.277,3.167,3.029,3.819,3.859,2.67,3.082,3.803,0.08,0.783,2.946,3.805,3.845,2.4,3.063,3.814,0.896,0.063,0.036,2.637,3.442,2.596,2.745,2.723,2.945,128475.279802738
North Macedonia,MKD,2024,3.307,2.364,1.079,1.941,2.291,1.289,1.164,2.147,1.554,2.341,1.883,1.362,3.044,1.034,1.014,2.936,2.463,2.162,1.269,1.256,2.543,2.999,0.27,0.191,1.692,2.608,1.429,1.715,2.41,0.177,24203.2859505244
Malaysia,MYS,2024,3.804,2.716,2.317,1.574,2.205,2.489,2.885,3.078,1.658,2.582,1.829,2.522,2.324,1.904,1.877,2.193,2.458,2.957,0.303,2.335,3.438,3.856,1.34,0.756,2.012,1.743,3.181,2.738,3.557,1.715,34116.2317848885
Malta,MLT,2024,3.911,2.791,2.19,2.967,2.533,2.964,3.259,2.745,2.905,3.313,2.663,2.389,3.761,0.548,1.3,2.956,3.522,2.991,2.694,2.706,3.772,3.05,0.235,0.116,1.493,2.441,2.371,1.188,3.61,0.57,62700.4942180461
Mauritius,MUS,2024,3.578,2.992,1.679,2.649,2.783,2.188,2.696,2.551,2.076,2.528,1.804,1.887,3.228,2.087,1.676,1.877,2.779,2.907,0.576,2.114,3.098,2.429,1.402,0.826,2.447,2.243,2.664,2.131,3.47,1.923,28011.1579806299
Montenegro,MNE,2024,3.833,2.834,1.758,2.291,2.832,1.991,2.91,2.952,2.899,2.833,1.627,2.517,3.615,1.288,1.97,2.687,3.29,2.624,1.867,3.135,2.948,3.218,1.33,0.575,1.498,2.283,1.282,1.39,1.26,0.293,28105.7093264336
New Zealand,NZL,2024,3.893,3.429,3.724,3.365,2.532,3.823,3.936,3.402,3.676,3.562,2.86,2.764,3.508,1.316,0.314,2.964,3.671,3.776,2.364,2.263,3.566,1.597,0.134,0.323,1.748,3.57,2.32,2.693,3.153,0.865,49316.3999433708
Norway,NOR,2024,3.885,3.44,3.793,3.69,3.72,3.634,3.683,3.263,3.594,3.746,3.628,3.06,3.893,0.199,1.911,2.967,3.784,3.837,2.758,3.553,3.904,0.622,0.772,0.052,1.892,3.002,2.708,3.232,2.769,2.04,91105.246799623
Oman,OMN,2024,0.232,2.778,2.741,1.36,0.769,1.868,3.184,1.719,2.624,2.565,0.859,1.948,0.858,0.671,0.966,1.061,0.827,1.121,0.082,1.125,3.41,0.217,0.194,0.161,0.948,1.025,2.163,3.078,2.62,2.623,36721.0804634186
Paraguay,PRY,2024,3.552,2.187,1.315,1.482,1.841,2.197,1.42,2.673,2.0,2.147,1.803,1.097,2.974,0.944,1.114,2.862,3.06,1.881,0.612,1.857,0.715,1.664,1.483,0.222,1.26,2.615,1.215,1.557,3.615,2.319,16296.2836189263
Romania,ROU,2024,3.809,2.292,2.718,1.983,1.715,1.254,2.439,2.774,2.257,2.816,2.25,1.051,2.898,1.269,1.474,2.972,2.516,1.685,1.062,2.704,1.587,3.878,0.856,1.548,1.159,3.505,2.06,1.834,1.29,0.441,40504.0002945958
Sao Tome and Principe,STP,2024,3.806,2.62,2.049,2.611,1.892,2.711,2.749,2.656,3.232,2.717,2.317,1.386,2.754,0.675,1.103,2.868,2.822,2.318,1.012,1.952,2.081,0.47,1.01,0.047,1.424,1.639,1.519,2.679,3.501,2.269,5491.29829852275
Saudi Arabia,SAU,2024,0.038,2.817,2.521,0.374,0.678,0.781,2.645,1.489,1.336,1.412,0.802,1.504,0.362,0.796,0.619,1.477,0.436,0.585,0.041,0.758,3.372,0.894,0.579,0.04,0.201,0.502,3.211,3.208,2.102,2.736,62792.7741476371
Serbia,SRB,2024,3.229,2.126,1.005,1.867,1.858,1.356,1.077,1.376,2.547,3.094,2.341,2.119,2.732,2.223,1.604,2.781,1.723,1.219,1.674,2.249,2.961,3.241,2.626,1.726,1.576,3.739,2.193,0.36,1.342,0.146,26900.853091323
Seychelles,SYC,2024,3.699,3.298,3.404,3.096,4.731,3.44,3.562,3.673,3.451,3.882,1.894,2.617,3.048,1.037,1.744,2.786,2.818,2.335,0.172,2.273,3.546,2.667,0.091,0.064,1.81,2.648,2.466,2.435,3.826,2.692,29241.7758048825
Singapore,SGP,2024,3.069,3.127,3.357,2.065,2.503,2.451,3.629,3.543,3.817,3.227,1.87,3.303,1.329,0.285,1.377,2.217,2.789,3.131,0.948,2.442,3.908,1.267,0.2,0.186,2.18,1.106,3.691,2.774,2.982,2.654,132569.525225795
Slovakia,SVK,2024,3.9,2.047,2.268,2.188,1.598,3.02,2.745,3.277,2.292,3.187,2.159,1.803,2.417,1.094,1.554,2.889,2.731,3.365,1.366,2.273,3.192,3.173,0.847,1.107,1.5,2.949,1.819,1.864,2.339,0.044,40319.0547230873
Slovenia,SVN,2024,3.922,3.292,3.44,3.308,3.32,2.36,3.246,2.752,3.015,3.619,3.346,2.426,3.198,0.633,1.233,2.975,2.7,2.996,2.072,3.013,3.017,3.855,0.906,0.594,1.58,3.141,1.663,1.313,3.072,0.263,48648.9078834081
Solomon Islands,SLB,2024,3.741,2.39,1.422,1.865,2.295,2.919,2.612,3.143,2.427,3.041,1.522,2.208,3.46,0.74,0.899,2.793,3.514,2.772,0.278,2.309,0.758,1.516,0.471,0.047,1.389,3.078,0.805,3.352,3.566,2.572,2353.24808229243
United Arab Emirates,ARE,2024,0.138,3.112,3.382,0.824,0.634,0.764,3.313,0.591,2.595,2.109,0.702,2.783,0.923,0.116,0.696,0.996,0.066,0.639,0.068,1.113,3.505,1.067,0.069,0.088,1.213,0.764,3.297,2.102,1.445,3.378,69701.8047983545
Hungary,HUN,2024,3.617,2.474,1.203,1.665,1.585,0.857,2.887,2.945,2.151,2.978,1.838,2.034,1.97,1.308,1.247,2.953,1.83,1.82,0.761,2.025,2.369,3.873,0.352,2.599,1.405,1.989,2.899,0.458,1.855,0.025,40686.9319263343
